Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Location,-3763.8 um, 1511.8 um
Length,1071.0 um
Duration,8 sec
Resolution,0.446 um/sample
Force,8.00 mg
Measurement Range,6.5 um
Profile,Hills&Valleys
Display Range,Auto
R. Cursor,Pos: 1045.1 um Width: 40.0 um
M. Cursor,Pos: 98.2 um Width: 40.0 um

Analytical Results
Function,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width,Result
Ra,112.0 um,40.0 um,10.0 um,40.0 um,1.14 nm
Rq,112.0 um,40.0 um,10.0 um,40.0 um,1.38 nm
ASH,112.0 um,40.0 um,10.0 um,40.0 um,-5.65 nm

Scan Data
Lateral um,Raw Nanometer,
493.1,391.02,,
493.6,391.34,,
494.0,391.62,,
494.4,391.95,,
494.9,392.12,,
495.3,392.23,,
495.8,392.35,,
496.2,392.51,,
496.7,392.71,,
497.1,392.91,,
497.6,393.01,,
498.0,392.89,,
498.5,393.11,,
498.9,393.14,,
499.4,393.17,,
499.8,393.45,,
500.2,393.74,,
500.7,393.75,,
501.1,393.77,,
501.6,393.57,,
502.0,393.06,,
502.5,392.61,,
502.9,392.37,,
503.4,392.20,,
503.8,392.34,,
504.3,392.46,,
504.7,392.39,,
505.2,392.28,,
505.6,392.18,,
506.0,391.89,,
506.5,391.55,,
506.9,391.51,,
507.4,391.84,,
507.8,392.23,,
508.3,392.48,,
508.7,392.30,,
509.2,391.94,,
509.6,391.66,,
510.1,391.36,,
510.5,391.49,,
511.0,391.51,,
511.4,391.32,,
511.8,391.16,,
512.3,390.81,,
512.7,390.15,,
513.2,389.66,,
513.6,389.65,,
514.1,390.01,,
514.5,390.53,,
515.0,390.70,,
515.4,390.48,,
515.9,389.87,,
516.3,389.04,,
516.8,388.50,,
517.2,388.38,,
517.6,388.32,,
518.1,388.13,,
518.5,387.65,,
519.0,387.06,,
519.4,386.39,,
519.9,386.21,,
520.3,386.28,,
520.8,386.20,,
521.2,386.38,,
521.7,386.76,,
522.1,386.76,,
522.6,386.81,,
523.0,386.95,,
523.5,386.79,,
523.9,386.49,,
524.3,386.25,,
524.8,386.14,,
525.2,386.35,,
525.7,386.57,,
526.1,386.78,,
526.6,387.05,,
527.0,387.03,,
527.5,386.77,,
527.9,386.57,,
528.4,386.71,,
528.8,386.73,,
529.3,386.75,,
529.7,386.97,,
530.1,386.93,,
530.6,386.67,,
531.0,386.63,,
531.5,386.71,,
