Lateral um,Raw Nanometer
2511.6,-1580.31
2514.7,-1583.06
2517.9,-1584.88
2521.0,-1586.13
2524.1,-1587.48
2527.2,-1588.49
2530.4,-1590.37
2533.5,-1592.62
2536.6,-1594.09
2539.8,-1595.44
2542.9,-1595.36
2546.0,-1594.92
2549.1,-1595.08
2552.3,-1594.91
2555.4,-1596.12
2558.5,-1596.46
2561.7,-1598.04
2564.8,-1598.89
2567.9,-1600.69
2571.0,-1601.31
2574.2,-1602.21
2577.3,-1603.41
2580.4,-1604.76
2583.5,-1605.78
2586.7,-1606.26
2589.8,-1606.37
2592.9,-1607.05
2596.1,-1607.68
2599.2,-1607.58
2602.3,-1608.05
2605.4,-1607.68
2608.6,-1606.77
2611.7,-1605.78
2614.8,-1605.40
2617.9,-1605.26
2621.1,-1605.13
2624.2,-1604.98
2627.3,-1604.98
2630.5,-1605.29
2633.6,-1605.80
2636.7,-1606.34
2639.8,-1606.12
2643.0,-1606.80
2646.1,-1607.36
2649.2,-1607.14
2652.4,-1607.21
2655.5,-1607.04
2658.6,-1607.34
2661.7,-1608.18
2664.9,-1608.70
2668.0,-1609.68
2671.1,-1609.82
2674.3,-1609.12
2677.4,-1609.94
2680.5,-1609.96
2683.6,-1609.97
2686.8,-1609.94
2689.9,-1609.68
2693.0,-1608.65
2696.1,-1607.88
2699.3,-1607.71
2702.4,-1608.55
2705.5,-1609.93
2708.7,-1618.74
2711.8,-1633.10
2714.9,-1649.00
2718.0,-1661.37
2721.2,-1664.98
2724.3,-1663.06
2727.4,-1659.43
2730.6,-1653.96
2733.7,-1648.31
2736.8,-1642.92
2739.9,-1638.04
2743.1,-1633.20
2746.2,-1625.87
2749.3,-1618.57
2752.4,-1610.80
2755.6,-1605.00
2758.7,-1599.74
2761.8,-1594.49
2765.0,-1590.66
2768.1,-1587.47
2771.2,-1585.80
2774.3,-1584.68
2777.5,-1583.62
2780.6,-1583.89
2783.7,-1584.20
2786.8,-1584.55
2790.0,-1584.43
2793.1,-1585.10
2796.2,-1585.66
2799.4,-1587.07
2802.5,-1590.21
2805.6,-1593.06
2808.7,-1596.39
2811.9,-1598.47
2815.0,-1600.67
2818.1,-1602.65
2821.3,-1604.96
2824.4,-1606.63
2827.5,-1607.18
